supplier_name,product_name,unit_pack_info
,Methylated Spirit 20ltr V,
,Methylated Spirit  5ltrX5 V,
,Methylated Spirit 500mlX12 V,
,Methylated Spirit 300mlX12 V,
,Double Edge Blade 5pcX20pkt V,
Khetia,,
,Drink Energy Magic Clear 300ml x 12,
,Drink Magic Carbonated Ginger 300ml x 12,
,Drink Magic Cola 300ml x 12,
,Drink Magic Lemon Lime 500ml x 12,
,Drink Magic Orange 300ml x 12,
,Drink Magic Soda Water 300ml x 12,
,Drink Rtd Mr Kool Assorted 150ml x 24,
,New Kristal Mineral Water 500ml x 24,
,Drink Magic Jeera Cola 300ml x 12,
,Drink Rtd Mr Kool Orange 150ml x 24,
,Drink Magic Tonic Water 300ml x 12,
,Drink Energy Magic Lemon 300ml x 12,
,Frutyka Juice Orange 300ml x 12,
,Frutyka Juice Mango 300ml x 12,
,Frutyka Juice Mixed Fruit 300ml x 12,
,Drink Magic Orange 500ml x 12,
,Drink Magic Cola 500ml x 12,
,Frutyka Juice Orange 500ml x 12,
,Drink Energy Magic Blue 300ml x 12,
,Frutyka Juice Apple 500ml x 12,
,Frutyka Juice Apple 300ml x 12,
,Drink Magic Lemon Lime 300ml x 12,
,Frutyka Juice Mixed Fruit 500ml x 12,
,Frutyka Juice Mango 500ml x 12,
Manji Food,,
,Baring Shortcake 2kg,
,Choco Finger 125g x 24pkt,
,Chocolate Biscuit 150g x 24pkt,
,Chocolate Digestive 150g x 24pkts,
,Classic Combo 1 Kg x 6jars,
,Creams Biscuit Orange 24x78g,
,Creams Biscuits Chocolate 24x78g,
,Digestive 450g x 24pkts,
,Digestive Biscuit 24x200g,
,Dinner Crackers 200g x 24pkt,
,Fairland Chips 200g x 24pkt,
,Fairland Nuts 200g x 24pkt,
,Family Biscuit 24x80g,
,Gingernut 60x3pcs,
,Gingernut Biscuit 36x70g,
,Manji Gingersnaps 1kg x 6jars,
,Manji Nice Biscuit 200g x 24pkts,
,Manji Wafer Assorted 15gX6x24pc,
,Marie Biscuit 24x80g,
,M. Assorted Wafers 144x13g,
,Nice Jar 1kg x 6,
,Shortcake Jar 1kg x 6,
,So Nice Biscuit 48x100g,
,Manji Nice Biscuit 2.25kg,
,Shortcake 2.25kg,
,Butter Cashew Cookies Jar 450g x 12,
,Milkstar 72x4x16g,
,Milkstar Biscuit 24x40g,
,Heb Milk and Egg 70g x 36pkt,
,Manji Gingersnaps 24pkt x 200g,
,Ginger Cookies 500g x 12pkt,
,Butter Almond Cookies 24pkts x 150g,
,Family Classic 36x75g,
,Choco Chip Cookies 500g x 12pkts,
,Milkstar Biscuit 24x200g,
,Glucose Biscuit 72x4x16g,
,Goodday Digestive Biscuit 36x100g,
,Shortbread 24pkt x 200g,
,Glucose Biscuit 24x200g,
,Coconut Cookies 500g x 12pkts,
,Manji Shortcake 225g x 24pkts,
,M. Tea Biscuit 24x100g,
,HEB Honey and Chocolate 36x70g,
,Manji Digestive Jar 1kg x 6,
,Bourbon Biscuit 36x55g,
Banjara,,
,Chicken Cubes 8.5gX45X6 V,
,Royco 12X500g,
,Royco Mchuzi Mix Beef Sachet 72X12g,
,Beef Cube 45x6 V,
,Royco 24x200G V,
,Royco Mchuzi Mix Beef 8gx120 V,
,Royco Beef Cube 24pcX40X4g,
,Croma 10kgx1 V,
C. Dormans Ltd,,
,Dormance Instant Granule 250gX6,
,Dormans Instant Fine 100gX12 V,
,Dormans Instant Fine 250gx6 V,
,Dormans Irish 3 in 1 72X18g,
,Dormans Stickpack Fine 2grmX100X10 V,
,Dormans Stickpack Fine 2grmX12X36,
,Kk Kahawa Medium 25gX48 V,
,Syrup Caramel 750ml Glass,
,Syrup Grenadine 750ml Glass,
,Syrups Hazelnut 750ml Glass,
,Dormans Instant Fine 50gX24 V,
,Dormans Classic 3 in 1 72X18g,
,Dormans Espresso Fine 375gx24 V,
,Dormans Coffee House Fine 48X250g V,
,Dormans Coffee House Fine 500gx24 V,
Softcare Kenya,,
,Maya Diaper LC L 9pcX12,
,Maya Diaper LC M 10pcX12,
,Maya Diaper LC S 11pcX12,
,Maya Diaper No2 HC 48pcX6,
,Maya Diaper No5 HC 36pcX6,
,Softcare Diaper Gold No 2 6X48 V,
,Softcare Diaper Gold No 4 6X40 V,
,Softcare Diaper Space No2 48X4,
,Softcare Diaper Space No4 40X4,
,Softcare GD Mini 10X12+Wipes V,
,Softcare Pad 290mm x 8pkt,
,Softcare Pad A+ 320mm 4pkt x 6 x 8pc,
,Softcare Pad SmartMini 12 x 24 Pink,
,Softcare Pants No3 M 32X6 6X40wipes,
,Softcare Pants No4 L 30X6 6X40wipes,
,Softcare Pants No5 XL 30X6 6X40wipes,
,Softcare Wipes 40pcX20,
,Maya Diaper No4 HC 40pcX6,
,Softcare GD Mini 7X12+Wipes V,
,Softcare Baby Pant Mini L 8 x 16,
,Softcare Baby Pants Mini M 9 x 16,
,Softcare Diaper Premium No5 36X6,
,Softcare Diaper Premium No2 48x6,
,Softcare Diaper Space No3 42X4,
,Softcare Diaper Premium No4 40x6,
,Softcare Diaper Premium No3 42x6,
,Maya Diaper No3 HC 44pcX6,
,Softcare GD Mini 8x12+Wipes V,
,Softcare GD Mini 9x12 X5wipes V,
,Softcare Diaper Gold No 5 6X36 V,
,Softcare Diaper Gold No 3 6X42 V,
,Softcare Wipes 80pcX12 V,
,Softcare PAD Purple Z 8pcX24,
Kensalt,,
,Solai 18.9L Re Useable,
,Solai M Water 1lx12 V,
,Solai M Water 5ltr Jar,
,Solai W Water 10ltr Jar,
,Solai M water 1.5ltX12 V,
,Solai M water 5ltsX4 V,
,Solai M water 500mlX24 V,
Kitui Flour Mills,,
,Bake Flour 1X50 Kg Z,
,Dola Atta Mark 24 x 1kg,
,Maisha Maize Flour 24X1kg,
,Maisha Maize Flour 500g x 24 Z,
,Meta Mpors 200g X48,
,Softie Baking Flour 2kgX12,
,Softie Maize Flour 1kg x 24,
,Maisha Maize Flour 12X2kg,
,Dola Maize Flour 500x24pkt,
,Dola Wheat Flour 500gX24pkt,
,Dola Wheat Flour 1kgX24 Z,
,Dola Maize Flour 2kg*12 Z,
,Dola Maize Flour 1kg*24 Z,
,Dola Wheat Flour 2kg Z,
Raisons Trading (V),,
,Amana Sugar 2kgX10pkts,
,Classic Detegent Lily 36X200g V,
,Classic Detergent 12X500g V,
,Classic Detergent 36X200g V,
,Classic Detergent 6X1kg V,
,Classic Detergent 72X100g V,
,Idp Blue 1x10kg V,
,IDP  White 1x10kg V,
,KSL Drinking Chocolate 4x24x20g,
,Pride Liquid 500mlX24,
,Steelex Poa 12x12pcs,
,Steelwool 15x12ps,
,Sugar Packet 2kgX10 V,
,Supa Bright 12*12ut,
,Toss Bucket Pink 3.5kg Bkt,
,Toss Bucket White 3.5kg Bkt,
,Toss Bucket Yellow 3.5kg Bkt,
,Wow BBQ 13gX48pc,
,Indomie Chicken 120g x 20pkts,
,Lavik 4X5ltr V,
,Toss Bucket Blue 3.5kg Bkt,
,Classic Lily 500g x 12,
,Steelwool Sachets 20X30pcsX15g,
,Toss Lavender Large 12X500g,
,Toss Lavender 120X20g Sachet,
,Toss Bucket Lavender 3.5kg Bkt,
,Toss White Large 12X500g,
,Toss Bright 120X20g Sachet,
,Weetabix Single 37gx50 +6pcs Free,
,Indomie Chicken 70g x 5in1 x 8pkts,
,Lavik 1llrX12,
,Classic Lily 1kg x 6,
,Classic Lavender 1kg x 6,
,Classic Lavender 500g x 12,
,Classic Lavender 200g x 36,
,Classic Lily 72X100g V,
,Classic Lily 200g x 36,
,Sugar Packet 1kgX20 V,
,KSL Tropicla Mints 12X500grm,
Finsbury Trading Ltd,,
,Msafi 100grmX36,
,Msafi Lavender 100gm x 36,
,Oyo Beef Mchuzi Mix Jars 200gX24 V,
,Pep Africa Honey 12X500g,
